surface,radius_mm,thickness_mm,glass,semi_diameter_mm,note
1,76.4798,7.7083,N-PSK53A,16.631,E1 front
2,1067.9847,0.5002,AIR,15.722,
3,60.8382,12.2561,N-PSK53A,15.173,E2 (cem.)
4,-61.5370,4.6831,N-KZFS4,12.979,E3 (cem.)
5,63.9083,5.9357,AIR,11.224,
6,inf,9.6252,AIR,9.808,STOP
7,-61.1547,5.3092,N-KZFS4,9.881,E4 (cem.)
8,57.0517,13.5458,N-PSK53A,10.381,E5 (cem.)
9,-79.9445,1.1437,AIR,11.198,
10,117.0096,7.0203,N-PSK53A,11.262,E6
11,-502.1501,18.9172,AIR,11.133,
12,110.5626,2.3756,N-SF6,10.236,E7 field flattener
13,404.6710,20.9801,AIR,10.101,
