surface,radius_mm,thickness_mm,glass,semi_diameter_mm,note
1,84.6450,8.0069,N-PSK53A,20.797,E1 front
2,452.9173,1.8376,AIR,19.845,
3,56.5301,12.1903,N-PSK53A,18.751,E2 (cem.)
4,-56.6644,4.8600,N-KZFS4,16.963,E3 (cem.)
5,77.0605,7.4360,AIR,14.455,
6,inf,6.3267,AIR,12.387,STOP
7,-52.0576,5.2086,N-KZFS4,12.104,E4 (cem.)
8,50.6746,13.1620,N-PSK53A,12.693,E5 (cem.)
9,-61.9847,0.5547,AIR,13.391,
10,75.9335,6.9957,N-PSK53A,13.321,E6
11,-352.9615,17.1393,AIR,12.872,
12,-870.8724,2.3646,N-SF6,10.229,E7 field flattener
13,206.8682,20.1614,AIR,10.015,
